,Game,Price,Review,Votes,Date
0,Call of Duty: Infinite Warfare (PS4),"₹1,298.00",4.2 out of 5 stars,"1,827",2021-12-22
1,Grand Theft Auto V - PC - (ROCKSTAR SOCIAL CLUB DOWNLOAD CODE-NO CD/DVD),₹899.00,3.8 out of 5 stars,495,2021-12-22
2,Tom Clancy's Rainbow Six Siege (PC),₹499.00,4.2 out of 5 stars,219,2021-12-22
3,IGN PC Games: International Cricket 07 Full PC Game (Digital Download/No DVD/CD) - No Redeem* Code -PC,₹499.00,2.6 out of 5 stars,6,2021-12-22
4,Need for Speed: Most Wanted (PC-DVD),"₹1,099.00",3.6 out of 5 stars,106,2021-12-22
5,PC DIRT SHOWDOWN,₹233.00,3.6 out of 5 stars,8,2021-12-22
6,Asassins-Creed-Origins Full PC Game (Digital Download) - {{ No DVD/CD/No Online REDEEM CODE.}},₹599.00,none,0,2021-12-22
7,Square Enix Just Cause 4 (PC),₹954.00,3.2 out of 5 stars,22,2021-12-22
8,Spider-Man: Friend or Foe (PC DVD),"1 offer from
                 

                   ₹890.00",3.7 out of 5 stars,28,2021-12-22
9,Batman: Arkham Origins (PC Code),₹699.00,4.7 out of 5 stars,4,2021-12-22
10,Cyberpunk 2077 - GOG Code,"₹1,799.00",4.0 out of 5 stars,590,2021-12-22
11,Tom Clancy's: Rainbow Six Siege (PS4),"₹1,005.00",4.1 out of 5 stars,221,2021-12-22
12,ACTIVISION Call of Duty: WWII (PS4),"4 offers from
                 

                   ₹2,699.00",4.3 out of 5 stars,"6,365",2021-12-22
13,ACTIVISION Call of Duty : Infinite Warfare – Legacy Edition (PS4) (with free DLC – COD : Modern Warfare Remastered),"2 offers from
                 

                   ₹1,830.00",3.9 out of 5 stars,461,2021-12-22
14,Age of Empires IV: Standard - Windows 10 (Digital Code) (PC),"₹3,610.00",4.7 out of 5 stars,4,2021-12-22
15,Assassin's Creed IV: Black Flag (PS4),"₹1,023.00",4.5 out of 5 stars,409,2021-12-22
16,Call of Duty: Infinite Warfare (Xbox One),₹757.00,4.2 out of 5 stars,230,2021-12-22
