,rank,title,name,country,classical,rapid,blitz
0,#1,GM,Alireza Firouzja,'France',2778,2704,2795
1,#2,GM,Arjun Erigaisi,'India',2689,2450,2745
2,#3,GM,Nihal Sarin,'India',2651,2604,2705
3,#4,GM,Javokhir Sindarov,'Uzbekistan',2629,2467,2670
4,#5,GM,Nodirbek Abdusattorov,'Uzbekistan',2688,2670,2663
5,#6,GM,Bogdan-Daniel Deac,'Romania',2692,2577,2648
6,#7,GM,Vugar Asadli,'Azerbaijan',2575,2357,2635
7,#8,GM,Hans Moke Niemann,'United States',2688,2529,2632
8,#9,GM,Velimir Ivic,'Serbia',2581,2473,2625
9,#10,GM,Shamsiddin Vokhidov,'Uzbekistan',2552,2471,2619
10,#11,GM,Andrey Esipenko,Russia,2682,2679,2617
11,#12,GM,Raunak Sadhwani,'India',2611,2533,2616
12,#13,GM,Mahammad Muradli,'Azerbaijan',2523,2432,2611
13,#14,GM,Shant Sargsyan,'Armenia',2661,2477,2611
14,#15,GM,Praggnanandhaa Rameshbabu,'India',2648,1927,2599
15,#16,GM,Gukesh D,'India',2704,2223,2598
16,#17,IM,Volodar Murzin,Russia,2549,2534,2585
17,#18,GM,Kirill Shevchenko,'Ukraine',2654,2584,2562
18,#19,GM,Vincent Keymer,'Germany',2686,2552,2548
19,#20,FM,Tobias Koelle,'Germany',2436,2217,2541
20,#21,IM,Pawel Teclaf,'Poland',2548,2440,2540
21,#22,GM,Nicolas D Checa,'United States',2526,2272,2526
22,#23,GM,Nodirbek Yakubboev,'Uzbekistan',2620,2495,2517
23,#24,FM,Jose Gabriel Cardoso Cardoso,'Colombia',2493,2343,2485
24,#25,GM,Felix Blohberger,'Austria',2492,2388,2483
25,#26,GM,Daniel Dardha,'Belgium',2575,2504,2482
26,#27,GM,Aydin Suleymanli,'Azerbaijan',2541,2297,2481
27,#28,IM,Jakub Kosakowski,'Poland',2436,2410,2476
28,#29,IM,Jakob Leon Pajeken,'Germany',2434,2126,2475
29,#30,IM,Kirill Shubin,Russia,2479,2445,2474
30,#31,IM,Vignir Vatnar Stefansson,'Iceland',2461,2291,2472
31,#32,IM,Samir Sahidi,'Slovakia',2462,2438,2467
32,#33,GM,Andrew Z Hong,'United States',2504,0,2460
33,#34,FM,Konstantin Peyrer,'Austria',2406,2258,2460
34,#35,IM,Frederik Svane,'Germany',2521,2300,2459
35,#36,GM,Adam Kozak,'Hungary',2522,2508,2459
36,#37,FM,Kazybek Nogerbek,'Kazakhstan',2437,2351,2458
37,#38,IM,Mahel Boyer,'France',2439,2356,2458
38,#39,IM,Toivo Keinanen,'Finland',2477,2466,2458
39,#40,IM,David Gavrilescu,'Romania',2525,2470,2453
40,#41,IM,Bojan Maksimovic,'Bosnia & Herzegovina',2465,2501,2453
41,#42,IM,Liam Vrolijk,'Netherlands',2464,2470,2452
42,#43,FM,Vuk Damjanovic,'Serbia',2393,2226,2451
43,#44,IM,Dimitris Alexakis,'Greece',2484,2332,2450
44,#45,GM,P Iniyan,'India',2533,2295,2450
45,#46,IM,Valentin Baidetskyi,'Ukraine',2443,2340,2448
46,#47,GM,Arseniy Nesterov,Russia,2560,2474,2447
47,#48,GM,Semyon Lomasov,Russia,2541,2559,2445
48,#49,IM,Denis Lazavik,'Belarus',2504,2393,2437
49,#50,IM,Platon Galperin,'Ukraine',2518,2405,2432
