,rank,title,name,country,classical,rapid,blitz
0,#1,GM,Alireza Firouzja,'France',2778,2704,2795
1,#2,GM,Andrey Esipenko,Russia,2682,2679,2617
2,#3,GM,Nodirbek Abdusattorov,'Uzbekistan',2688,2670,2663
3,#4,GM,Nihal Sarin,'India',2651,2604,2705
4,#5,GM,Kirill Shevchenko,'Ukraine',2654,2584,2562
5,#6,GM,Bogdan-Daniel Deac,'Romania',2692,2577,2648
6,#7,GM,Semyon Lomasov,Russia,2541,2559,2445
7,#8,GM,Vincent Keymer,'Germany',2686,2552,2548
8,#9,GM,Casper Schoppen,'Netherlands',2507,2536,0
9,#10,IM,Volodar Murzin,Russia,2549,2534,2585
10,#11,GM,Raunak Sadhwani,'India',2611,2533,2616
11,#12,GM,Hans Moke Niemann,'United States',2688,2529,2632
12,#13,GM,Paulius Pultinevicius,'Lithuania',2539,2524,2385
13,#14,GM,Adam Kozak,'Hungary',2522,2508,2459
14,#15,GM,Daniel Dardha,'Belgium',2575,2504,2482
15,#16,IM,Bojan Maksimovic,'Bosnia & Herzegovina',2465,2501,2453
16,#17,GM,Nodirbek Yakubboev,'Uzbekistan',2620,2495,2517
17,#18,GM,Shant Sargsyan,'Armenia',2661,2477,2611
18,#19,GM,Arseniy Nesterov,Russia,2560,2474,2447
19,#20,GM,Velimir Ivic,'Serbia',2581,2473,2625
20,#21,GM,Shamsiddin Vokhidov,'Uzbekistan',2552,2471,2619
21,#22,IM,David Gavrilescu,'Romania',2525,2470,2453
22,#23,IM,Liam Vrolijk,'Netherlands',2464,2470,2452
23,#24,GM,Javokhir Sindarov,'Uzbekistan',2629,2467,2670
24,#25,IM,Toivo Keinanen,'Finland',2477,2466,2458
25,#26,GM,Arjun Erigaisi,'India',2689,2450,2745
26,#27,GM,Francesco Sonis,'Italy',2543,2445,2368
27,#28,IM,Kirill Shubin,Russia,2479,2445,2474
28,#29,IM,Pawel Teclaf,'Poland',2548,2440,2540
29,#30,IM,Samir Sahidi,'Slovakia',2462,2438,2467
30,#31,IM,Jung Min Seo,'Sweden',2492,2434,2414
31,#32,FM,Alexey Grachev,Russia,2384,2433,2426
32,#33,GM,Mahammad Muradli,'Azerbaijan',2523,2432,2611
33,#34,IM,Rudik Makarian,Russia,2533,2431,2403
34,#35,IM,Yair Parkhov,'Israel',2468,2423,2256
35,#36,IM,Stefan Pogosyan,Russia,2411,2421,2392
36,#37,FM,Kirill Chukavin,'Estonia',2418,2418,2280
37,#38,IM,Tagir Salemgareev,Russia,2490,2411,2351
38,#39,IM,Jakub Kosakowski,'Poland',2436,2410,2476
39,#40,IM,Platon Galperin,'Ukraine',2518,2405,2432
40,#41,GM,Awonder Liang,'United States',2625,2397,2379
41,#42,IM,Bibisara Assaubayeva,'Kazakhstan',2436,2396,2404
42,#43,GM,Praveen Balakrishnan,'United States',2517,2395,2237
43,#44,GM,Prithu Gupta,'India',2444,2394,1775
44,#45,FM,Remy Degraeve,'France',2403,2394,2331
45,#46,IM,Denis Lazavik,'Belarus',2504,2393,2437
46,#47,IM,Carissa Yip,'United States',2416,2393,1708
47,#48,GM,Felix Blohberger,'Austria',2492,2388,2483
48,#49,IM,Milosz Szpar,'Poland',2431,2385,2422
49,#50,IM,Mamikon Gharibyan,'Armenia',2490,2382,2254
