,rank,title,name,country,classical,rapid,blitz
0,#1,GM,Alireza Firouzja,'France',2778,2704,2795
1,#2,GM,Gukesh D,'India',2704,2223,2598
2,#3,GM,Bogdan-Daniel Deac,'Romania',2692,2577,2648
3,#4,GM,Arjun Erigaisi,'India',2689,2450,2745
4,#5,GM,Hans Moke Niemann,'United States',2688,2529,2632
5,#6,GM,Nodirbek Abdusattorov,'Uzbekistan',2688,2670,2663
6,#7,GM,Vincent Keymer,'Germany',2686,2552,2548
7,#8,GM,Andrey Esipenko,Russia,2682,2679,2617
8,#9,GM,Shant Sargsyan,'Armenia',2661,2477,2611
9,#10,GM,Kirill Shevchenko,'Ukraine',2654,2584,2562
10,#11,GM,Nihal Sarin,'India',2651,2604,2705
11,#12,GM,Praggnanandhaa Rameshbabu,'India',2648,1927,2599
12,#13,GM,Javokhir Sindarov,'Uzbekistan',2629,2467,2670
13,#14,GM,Awonder Liang,'United States',2625,2397,2379
14,#15,GM,Nodirbek Yakubboev,'Uzbekistan',2620,2495,2517
15,#16,GM,Raunak Sadhwani,'India',2611,2533,2616
16,#17,GM,Aryan Chopra,'India',2610,0,0
17,#18,GM,Jonas Buhl Bjerre,'Denmark',2608,2355,2312
18,#19,GM,Velimir Ivic,'Serbia',2581,2473,2625
19,#20,GM,Daniel Dardha,'Belgium',2575,2504,2482
20,#21,GM,Vugar Asadli,'Azerbaijan',2575,2357,2635
21,#22,GM,Leon Luke Mendonca,'India',2567,1391,2152
22,#23,GM,Arseniy Nesterov,Russia,2560,2474,2447
23,#24,GM,Luis Engel,'Germany',2558,2279,2417
24,#25,GM,Abhimanyu Mishra,'United States',2553,0,1682
25,#26,GM,Shamsiddin Vokhidov,'Uzbekistan',2552,2471,2619
26,#27,GM,Christopher Yoo,'United States',2550,1861,2105
27,#28,IM,Volodar Murzin,Russia,2549,2534,2585
28,#29,IM,Pawel Teclaf,'Poland',2548,2440,2540
29,#30,GM,Brandon Jacobson,'United States',2544,2351,2362
30,#31,GM,Francesco Sonis,'Italy',2543,2445,2368
31,#32,GM,Aydin Suleymanli,'Azerbaijan',2541,2297,2481
32,#33,GM,Semyon Lomasov,Russia,2541,2559,2445
33,#34,GM,Paulius Pultinevicius,'Lithuania',2539,2524,2385
34,#35,IM,Rudik Makarian,Russia,2533,2431,2403
35,#36,GM,P Iniyan,'India',2533,2295,2450
36,#37,GM,Nicolas D Checa,'United States',2526,2272,2526
37,#38,IM,David Gavrilescu,'Romania',2525,2470,2453
38,#39,GM,Mahammad Muradli,'Azerbaijan',2523,2432,2611
39,#40,GM,Adam Kozak,'Hungary',2522,2508,2459
40,#41,IM,Frederik Svane,'Germany',2521,2300,2459
41,#42,GM,Nguyen Anh Khoi,'Vietnam',2520,2320,2296
42,#43,IM,Artur Davtyan,'Armenia',2520,1931,2311
43,#44,GM,Dambasuren Batsuren,'Mongolia',2518,2118,2369
44,#45,IM,Platon Galperin,'Ukraine',2518,2405,2432
45,#46,GM,Praveen Balakrishnan,'United States',2517,2395,2237
46,#47,IM,V Pranav,'India',2512,2305,2380
47,#48,GM,Luka Budisavljevic,'Serbia',2511,2195,2365
48,#49,IM,Momchil Petkov,'Bulgaria',2510,1909,2026
49,#50,GM,Casper Schoppen,'Netherlands',2507,2536,0
