,rank,title,name,country,classical,rapid,blitz
0,#1,GM,Hou Yifan,'China',2650,2621,2601
1,#2,GM,Ju Wenjun,'China',2560,2610,2536
2,#3,GM,Lei Tingjie,'China',2535,2527,2530
3,#4,GM,Kateryna Lagno,Russia,2547,2531,2522
4,#5,GM,Tan Zhongyi,'China',2525,2513,2510
5,#6,GM,Humpy Koneru,'India',2586,2467,2472
6,#7,GM,Alexandra Kosteniuk,Russia,2521,2542,2469
7,#8,GM,Anna Muzychuk,'Ukraine',2529,2458,2460
8,#9,GM,Marie Sebag,'France',2447,2387,2440
9,#10,GM,Maia Chiburdanidze,'Georgia',2500,2432,2437
10,#11,GM,Viktorija Cmilyte,'Lithuania',2538,2394,2435
11,#12,IM,Ana Matnadze,'Spain',2406,2355,2434
12,#13,IM,Sarasadat Khademalsharieh,'Iran',2490,2411,2431
13,#14,GM,Aleksandra Goryachkina,Russia,2599,2473,2426
14,#15,GM,Antoaneta Stefanova,'Bulgaria',2467,2399,2426
15,#16,GM,Zhansaya Abdumalik,'Kazakhstan',2495,2448,2413
16,#17,IM,Olga Alexandrova,'Spain',2420,2406,2408
17,#18,GM,Zhao Xue,'China',2486,2442,2407
18,#19,IM,Bibisara Assaubayeva,'Kazakhstan',2436,2396,2404
19,#20,IM,Dinara Saduakassova,'Kazakhstan',2435,2434,2404
20,#21,GM,Anna Ushenina,'Ukraine',2423,2371,2395
21,#22,IM,Batkhuyag Munguntuul,'Mongolia',2408,2364,2391
22,#23,IM,Elisabeth Paehtz,'Germany',2484,2367,2390
23,#24,IM,Alisa Galliamova,Russia,2421,2370,2390
24,#25,GM,Valentina Gunina,Russia,2469,2421,2386
25,#26,WGM,Kubra Ozturk,'Turkey',2334,2293,2384
26,#27,GM,Harika Dronavalli,'India',2517,2475,2382
27,#28,WGM,Wang Jue,'China',2426,2421,2378
28,#29,WGM,Anna-Maria Botsari,'Greece',2229,0,2374
29,#30,GM,Nana Dzagnidze,'Georgia',2531,2463,2374
30,#31,GM,Hoang Thanh Trang,'Hungary',2376,2336,2364
31,#32,WGM,Tatiana Melamed,'Germany',2380,2347,2363
32,#33,IM,Anna Zatonskih,'United States',2383,2267,2362
33,#34,WGM,Janelle Mae Frayna,'Philippines',2224,2216,2362
34,#35,GM,Irina Krush,'United States',2430,2392,2360
35,#36,WGM,Oleiny Linares Napoles,'Cuba',2228,0,2357
36,#37,IM,Stavroula Tsolakidou,'Greece',2362,2277,2351
37,#38,IM,Szidonia Lazarne Vajda,'Hungary',2313,2239,2347
38,#39,WGM,Tatev Abrahamyan,'United States',2291,2373,2347
39,#40,IM,Jovanka Houska,'England',2360,2317,2345
40,#41,IM,Vaishali R,'India',2442,2273,2343
41,#42,IM,Yelena Zayats,Russia,2336,2258,2342
42,#43,WGM,Zhai Mo,'China',2374,2351,2342
43,#44,WGM,Deysi Cori,'Peru',2371,2274,2341
44,#45,WGM,Ticia Gara,'Hungary',2367,2274,2340
45,#46,IM,Guo Qi,'China',2406,2446,2338
46,#47,IM,Meri Arabidze,'Georgia',2426,2356,2335
47,#48,WGM,Marta Michna,'Germany',2318,2288,2333
48,#49,IM,Anastasia Bodnaruk,Russia,2390,2239,2332
49,#50,IM,Shen Yang,'China',2401,2383,2331
