State/Territory,Official Language(s),Additional Language(s)
Andhra Pradesh,"Telugu, Urdu",English
Arunachal Pradesh,English,
Assam,Assamese,"Bengali, Bodo"
Bihar,Hindi,Urdu
Chhattisgarh,"Hindi, Chhattisgarhi",
Goa,"Konkani, English",Marathi
Gujarat,Gujarati,Hindi
Haryana,Hindi,"English, Punjabi"
Himachal Pradesh,Hindi,Sanskrit
Jharkhand,Hindi,"Angika, Bengali, Bhojpuri, Bhumij, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali, Urdu"
Karnataka,Kannada,English
Kerala,Malayalam,English
Madhya Pradesh,Hindi,
Maharashtra,Marathi,
Manipur,Manipuri,English
Meghalaya,English,Khasi and Garo
Mizoram,"Mizo, English",
Nagaland,English,
Odisha,Odia,
Punjab,Punjabi,
Rajasthan,Hindi,
Sikkim,"English, Nepali, Sikkimese, Lepcha","Gurung, Limbu, Magar, Mukhia, Newari, Rai, Sherpa and Tamang"
Tamil Nadu,Tamil,English
Telangana,"Telugu, Urdu",
Tripura,"Bengali, English, Kokborok",
Uttar Pradesh,Hindi,Urdu
Uttarakhand,Hindi,Sanskrit
West Bengal,"Bengali, English","Nepali, Hindi, Odia, Santali, Punjabi, Kamtapuri, Rajbanshi, Kurmali,Kurukh and Telugu,Urdu"
Andaman and Nicobar Islands,"Hindi, English","Bengali, Tamil, Telugu, Andamanese"
Chandigarh,English,
Dadra and Nagar Haveli and Daman and Diu,"Gujarati, English, Marathi, Hindi",
Delhi,"Hindi, English","Urdu, Punjabi"
Lakshadweep,Malayalam,English
Jammu and Kashmir,"Kashmiri, Dogri, Hindi, Urdu, English",
Ladakh,"Hindi, English",
Puducherry,"Tamil, French, English","Telugu, Malayalam"
