state,Official Language(s),Other Official Language(s),territory
Andhra Pradesh,"Telugu,[63] Urdu[23]","English[citation needed]
",
Arunachal Pradesh,English[64],"
",
Assam,Assamese[65],"Bengali in three districts of Barak Valley,[66] Bodo in Bodoland Territorial Council areas
",
Bihar,Hindi[67],"Urdu[67]
",
Chhattisgarh,"Hindi,[68] Chhattisgarhi[69]","
",
Goa,"Konkani, English[70]","Marathi[71]: 27 [72]
",
Gujarat,Gujarati[73],"Hindi[73]
",
Haryana,Hindi[74],"English,[71] Punjabi[75]
",
Himachal Pradesh,Hindi[76],"Sanskrit[77]
",
Jharkhand,Hindi[64],"Angika, Bengali, Bhojpuri, Bhumij, Ho, Kharia, Khortha, Kurmali, Kurukh, Magahi, Maithili, Mundari, Nagpuri, Odia, Santali, Urdu[22][78]
",
Karnataka,Kannada,"English[citation needed]
",
Kerala,Malayalam,"English
",
Madhya Pradesh,Hindi[79],"
",
Maharashtra,Marathi[80],"
",
Manipur,Manipuri[81],"English
",
Meghalaya,English[82],"Khasi and Garo[83]
",
Mizoram,"Mizo, English[84]","
",
Nagaland,English,"
",
Odisha,Odia[85],"
",
Punjab,Punjabi[71],"
",
Rajasthan,Hindi,"
",
Sikkim,"English, Nepali, Sikkimese, Lepcha[71][86]","Gurung, Limbu, Magar, Mukhia, Newari, Rai, Sherpa and Tamang[71]
",
Tamil Nadu,Tamil,"English
",
Telangana,"Telugu, Urdu[87][88]","
",
Tripura,"Bengali, English, Kokborok[89][90][91]","
",
Uttar Pradesh,Hindi,"Urdu[92]
",
Uttarakhand,Hindi,"Sanskrit
",
West Bengal,"Bengali, English[71][93]","Nepali in Darjeeling and Kurseong sub-divisions;[71] Urdu, Hindi, Odia, Santali, Punjabi, Kamtapuri, Rajbanshi, Kurmali, Kurukh and Telugu in blocks, divisions or districts with population greater than 10 percent[14][15][94][95]
",
Andaman and Nicobar Islands,"Hindi, English","Bengali, Tamil, Telugu, Andamanese[96]
",
Chandigarh,"English[97]
","
",
Dadra and Nagar Haveli and Daman and Diu,"Gujarati, English, Marathi, Hindi[98][99]","
",
Delhi,"Hindi, English[64]","Urdu, Punjabi[100]
",
Lakshadweep,Malayalam[101],"English
",
Jammu and Kashmir,"Kashmiri, Dogri, Hindi, Urdu, English[102]","
",
Ladakh,"Hindi, English","
",
Puducherry,"Tamil, French,[103] English","Telugu in Yanam, Malayalam in Mahe[c][104][105]
",
